"filename","path","syntax_errors","sr_flags","ready_for_product","notes"
"WSH Velo.pine","D:\Work\Coding\Trading\WSH Velo.pine","paren-mismatch(396/489);bracket-mismatch(65/67);double-quote-odd(299)","alertcondition;request.security","no","syntax:paren-mismatch(396/489)|bracket-mismatch(65/67)|double-quote-odd(299) ; sr:alertcondition|request.security"
"Wish 5.2 hybrid.pine","D:\work\coding\trading\indicators\wyckoff\Wish 5.2 hybrid.pine","suspicious-ellipsis","request.security","yes",""
"VSAScalpPro20.pine","D:\work\coding\trading\indicators\vsa\VSAScalpPro20.pine","","alertcondition","yes",""
"vsa-functions.pine","D:\Work\Coding\Trading\vsa-functions.pine","missing-version-marker","","yes",""
"VPP42.pine","D:\Work\Coding\Trading\VPP42.pine","suspicious-ellipsis","request.security","yes",""
"VPP41.pine","D:\Work\Coding\Trading\VPP41.pine","suspicious-ellipsis","","yes",""
"VPP4.pine","D:\Work\Coding\Trading\VPP4.pine","suspicious-ellipsis","","yes",""
"Vol+CVD.pine","D:\work\coding\trading\indicators\cvd\Vol+CVD.pine","suspicious-ellipsis","pine-v6","yes",""
"value-area.pine","D:\work\coding\trading\indicators\vp\value-area.pine","missing-version-marker","","yes",""
"C+V+D.pine","D:\work\coding\trading\indicators\composite\C+V+D.pine","single-quote-odd(1)","","yes",""
"Claude PLS.pine","D:\work\coding\trading\indicators\vsa\Claude PLS.pine","single-quote-odd(1)","","yes",""
"CVD Pro.pine","D:\work\coding\trading\indicators\cvd\CVD Pro.pine","single-quote-odd(1)","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"Eclaude.pine","D:\work\coding\trading\indicators\kv\Eclaude.pine","","request.security","yes",""
"ema-trend.pine","D:\work\coding\trading\indicators\trend\ema-trend.pine","missing-version-marker","","yes",""
"EZ3.pine","D:\Work\Coding\Trading\EZ3.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"EZZII.pine","D:\work\coding\trading\indicators\kv\EZZII.pine","","request.security","yes",""
"EZZY.PINE","D:\work\coding\trading\indicators\kv\EZZY.PINE","","alertcondition;request.security","no","sr:alertcondition|request.security"
"Ideas.pine","D:\Work\Coding\Trading\Ideas.pine","missing-version-marker","","yes",""
"KVS 30.pine","D:\work\coding\trading\indicators\kvs\KVS 30.pine","single-quote-odd(1)","","yes",""
"Leviathan.pine","D:\work\coding\trading\indicators\other\Leviathan.pine","","request.security","yes",""
"PLS original.pine","D:\work\coding\trading\indicators\other\PLS original.pine","single-quote-odd(1)","","yes",""
"Shark.pine","D:\work\coding\trading\indicators\other\Shark.pine","","alertcondition;request.security;pine-v6","no","sr:alertcondition|request.security|pine-v6"
"SP.pine","D:\work\coding\trading\indicators\other\SP.pine","single-quote-odd(1)","alertcondition;request.security","no","sr:alertcondition|request.security"
"Squeeze.pine","D:\work\coding\trading\indicators\other\Squeeze.pine","","alertcondition;pine-v6","no","sr:alertcondition|pine-v6"
"EZ3.pine","D:\work\coding\trading\EZ3.pine","","alertcondition;request.security","no","sr:alertcondition|request.security"
"Ideas.pine","D:\work\coding\trading\Ideas.pine","missing-version-marker","","yes",""
"VPP4.pine","D:\work\coding\trading\VPP4.pine","suspicious-ellipsis","","yes",""
"VPP41.pine","D:\work\coding\trading\VPP41.pine","suspicious-ellipsis","","yes",""
"VPP42.pine","D:\work\coding\trading\VPP42.pine","suspicious-ellipsis","request.security","yes",""
"vsa-functions.pine","D:\work\coding\trading\vsa-functions.pine","missing-version-marker","","yes",""
