"filename","path","pine_version","detected_type","family","sr_flags","functions","identifiers","related_files","suggested_v6_name","content_sample"
"EZ3.pine","D:\work\coding\trading\EZ3.pine","5","indicator","other","alertcondition;request.security","is_pin_bar;f_line_horiz;f_line_del;f_sr_update;f_sr_delete","vol_multiplier;trap_zone_length;lookback;show_sr;show_rsi_div;div_lookback;max_trap_boxes;avg_vol;vol_spike;body;wick;bull_pin;bear_pin;bull_engulf;bear_engulf;trap_bull;trap_bear;sr_len;sr_width;native_support;native_resist;var line l_nat_sup;var line l_nat_res;ln;is_low_tf;h1_support;h1_resist;h4_support;h4_resist;var line l_h1_sup;var line l_h1_res;var line l_h4_sup;var line l_h4_res;ln_local;near_native_sr;near_h1_sr;near_h4_sr;is_in_sr_zone;final_trap_bull;final_trap_bear;new_box;entry_buy;entry_sell;rsi_len;rsi;bull_div;bear_div","EZ-02.pine(1);EZ-01.pine(1);EZZ-03.pine(1);EZZ-01.pine(1)","","// This Pine Script?? code is subject to the terms of the Mozilla Public License 2.0 at https://mozilla.org/MPL/2.0/ | // ?? lenguyenphi |  | //@version=5 | indicator(""EZ2"", overlay=true, max_boxes_count=5, max_lines_count=20, scale=scale.right) |  | vol_multiplier = input.float(2.0, title=""Volume Spike Multiplier"", minval=1.0) | trap_zone_length = input.int(3, title=""Trap Zone Length (bars)"") | lookback = input.int(20, title=""Volume Lookback Period"") | show_sr = input.bool(true, title=""Show Auto S/R"")"
"Ideas.pine","D:\work\coding\trading\Ideas.pine","","indicator","other","","","","","","// B??? HO??N TO??N LinePool system v?? thay b???ng: |  | // === TRADING RANGE MARKS (KH??NG D??NG LinePool) === | if showTRLines and barstate.isconfirmed |     if isSpring |         plotshape(true, ""Spring Support"", shape.triangleup, location.belowbar,  |                  color.green, size=size.small, text=""SPR"") |     if isUpthrust |         plotshape(true, ""Upthrust Resistance"", shape.triangledown, location.abovebar, |                  color.red, size=size.small, text=""UT"")"
"BETTE-01.pine","D:\work\coding\trading\indicators\cvd\BETTE-01.pine","6","indicator","cvd","request.security;pine-v6","ma;wma;f_lowerTf;f_cvdClose;f_cleanupDrawings;f_fillCell","const string GRP_CVD;anchorInput;useCustomTimeframeInput;lowerTimeframeInput;const string GRP_MA_BB;maTypeInput;maLengthInput;bbMultInput;showBollingerBands;const string GRP_DIVERGENCE;showRegular;showHidden;lookbackLeft;lookbackRight;rangeLower;rangeUpper;maxDivergences;const string GRP_DISPLAY;plotStyle;showCandleColors;showTable;tablePosition;const color BULL_COLOR;const color BEAR_COLOR;const color BULL_BG_COLOR;const color BEAR_BG_COLOR;string result;string lowerTimeframe;cvdSource;cvdMA;plVal;phVal;plFound;phFound;inRangePL;priceLL;cvdHL;bullCond;x1;y1_cvd;x2;inRangePH;priceHH;cvdLH;bearCond;isLinePlot;cvdLineColor;pCVD;pMA;cCol;bbMA;bbStdDev;bbUpper;bbLower;pUpper;pLower;bullCondAlert;bearCondAlert;string ltf;cvd_5;ma_5;cvd_15;ma_15;cvd_60;ma_60;cvd_240;ma_240;var table cvdTable;isUp;arrow;bgColor","BETTE-04.pine(3);BETTE-02.pine(3);BETTE-03.pine(3)","BETTE-01 V6.pine","//@version=6 | // TITLE: Better CVD - Final (Pure CVD + Divergence Engine) | // DESC: A complete order flow dashboard combining the feature-rich UI of ""Better RSI""  | // with the high-precision TV CVD calculation and a robust pivot-based divergence engine. No VSA. | indicator(""Better CVD - Final"", ""Better CVD 1"", overlay=false) |  | import TradingView/ta/8 |  | // ============================================================================================== | // INPUTS (L???y c???m h???ng t??? Better RSI)"
"BETTE-02.pine","D:\work\coding\trading\indicators\cvd\BETTE-02.pine","6","indicator","cvd","alertcondition;request.security;pine-v6","ma;wma;f_lowerTf;f_cvdCloseForSec","const string GRP_CVD;anchorInput;useCustomTimeframeInput;lowerTimeframeInput;const string GRP_MA_BB;maTypeInput;maLengthInput;bbMultInput;showBollingerBands;const string GRP_DIVERGENCE;showRegular;showHidden;lookbackLeft;lookbackRight;rangeLower;rangeUpper;keepHistory;maxHistoryPerType;hiddenStyleInput;hiddenWidthInput;hiddenOpacityInput;hiddenLineStyle;hiddenBullColor;hiddenBearColor;const string GRP_DISPLAY;plotStyle;showCandleColors;showTable;tablePosition;const color BULL_COLOR;const color BEAR_COLOR;const color HIDDEN_BULL_COLOR;const color HIDDEN_BEAR_COLOR;const color BULL_BG_COLOR;const color BEAR_BG_COLOR;cvdSource;var float cumVol;plVal;phVal;plFound;phFound;plJust;phJust;plBar;phBar;prevPlVal;prevPlBar;prevPhVal;prevPhBar;inRangePL;inRangePH;priceLL_now;priceHH_now;cvdHL_now;cvdLH_now;bullCondNow;bearCondNow;priceHL_now;priceLH_now;cvdLL_now;cvdHH_now;hiddenBullNow;hiddenBearNow;isLinePlot;isCandlePlot;cvdMA;cvdLineColor;pCVD;pMA;cCol;cvdMA_bb;bbUpper;bbLower;cvd_is_overbought;cvd_is_oversold;var line lineBull;var line lineBear;var line lineHBull;var line lineHBear;var histBull;var histBear;var histHBull;var histHBear;var int   prevPLBar;var float prevPLVal;var int   prevPHBar;var float prevPHVal;currBar;newLine;old;newHLine;cvd_5;ma_5;cvd_15;ma_15;cvd_60;ma_60;cvd_240;ma_240;cell_col_5;cell_col_15;cell_col_60;cell_col_240;var table cvdTable","BETTE-01.pine(3);BETTE-03.pine(2);BETTE-04.pine(2)","BETTE-02 V6.pine","//@version=6 | // TITLE: Better CVD - Final (Pure CVD + Divergence Engine) | // DESC: A complete order flow dashboard combining the feature-rich UI of ""Better RSI""  | // with the high-precision TV CVD calculation and a robust pivot-based divergence engine. No VSA. | indicator(""Better CVD - Final"", ""Better CVD2"", overlay=false) | import TradingView/ta/8 |  | // === GROUP: CVD CALCULATION SETTINGS === | const string GRP_CVD = ""CVD Calculation"" | anchorInput = input.timeframe(""D"", ""CVD Anchor Period"", group = GRP_CVD, tooltip = ""The timeframe at which the CVD calculation resets. 'D' is recommended for intraday."")"
"BETTE-03.pine","D:\work\coding\trading\indicators\cvd\BETTE-03.pine","6","indicator","cvd","alertcondition;pine-v6","ma;f_lowerTf;f_cvdClose;_inRange","const string GRP_CVD;anchorInput;useCustomTimeframeInput;lowerTimeframeInput;const string GRP_MA;maTypeInput;maLengthInput;bbMultInput;const string GRP_DIVERGENCE;showDivergence;ShowHDivergence;lookbackLeft;lookbackRight;rangeUpper;rangeLower;const string GRP_BB;showBollingerBands;showBBBreakouts;showExtremeBreakouts;const string GRP_TABLE;cvdShowTable;cvdTablePosition;cvdTextSize;textColor;const string GRP_DISPLAY;showCVDClouds;showCandleColors;plotStyle;const string GRP_LEVELS;enableAdditionalLevels;extremeMultiplier;significantMultiplier;const string GRP_CLOUD;maCloudLength1Input;maCloudLength2Input;maCloudTypeInput;cvdSource;var float cumVol;cvdMA;cvdMA1;cvdMA2;cvdMA_bb;bbStdDev;bbUpperBand;bbLowerBand;bbUpperBreakout;bbLowerBreakout;cvdRange;extremeUpperLevel;extremeLowerLevel;significantUpperLevel;significantLowerLevel;extremeUpperBreakout;extremeLowerBreakout;bearColor;bullColor;noneColor;plFound;phFound;bars;cvdHL;priceLL;bullCondAlert;bullCond;cvdLH;priceHH;bearCondAlert;bearCond;priceHL;cvdLL;hiddenBullCondAlert;hiddenBullCond;cvdHH;priceLH;hiddenBearCondAlert;hiddenBearCond;upperExtreme;upperSignificant;midline;lowerSignificant;lowerExtreme;isLinePlot;cvdLineColor;pCVD;pMA;cCol;p1;p2;bbUpper;bbLower;midLinePlot;offset;title;linewidth;color;text;style;location;textcolor;width_c0;width_c1;cvd_pos;var table cvd_Table","BETTE-04.pine(3);BETTE-01.pine(3);BETTE-02.pine(2);CVD Pro.pine(1)","BETTE-03 V6.pine","//@version=6 | // TITLE: Better CVD [Enhanced] - RSI-Style UI | // DESC: Complete order flow dashboard with Better RSI's professional UI design and feature set | indicator(""Better CVD [Enhanced]"", shorttitle=""Better CVD+"", format=format.price, precision=2, overlay=false) | import TradingView/ta/8 |  | // ======== INPUTS (Better RSI Style) ========== // | // --- CVD Core Settings --- | const string GRP_CVD = ""CVD Settings"" | anchorInput = input.timeframe(""D"", ""CVD Anchor Period"", group=GRP_CVD, tooltip=""Khung th???i gian reset CVD. 'D' ???????c khuy???n ngh??? cho intraday."")"
"BETTE-04.pine","D:\work\coding\trading\indicators\cvd\BETTE-04.pine","6","indicator","cvd","alertcondition;request.security;pine-v6","ma;f_lowerTf;f_cvdClose","const string GRP_CVD;anchorInput;useCustomTimeframeInput;lowerTimeframeInput;const string GRP_MA;maTypeInput;maLengthInput;bbMultInput;const string GRP_BB;showBollingerBands;showBBBreakouts;showExtremeBreakouts;const string GRP_DIVERGENCE;showDivergence;ShowHDivergence;lookbackLeft;lookbackRight;rangeUpper;rangeLower;keepHistory;maxHistoryPerType;hiddenStyleInput;hiddenWidthInput;hiddenOpacityInput;const string GRP_CLOUD;showCVDClouds;maCloudLength1Input;maCloudLength2Input;maCloudTypeInput;const string GRP_LEVELS;enableAdditionalLevels;extremeMultiplier;significantMultiplier;const string GRP_TABLE;cvdShowTable;cvdTablePosition;cvdTextSize;textColor;const string GRP_DISPLAY;showCandleColors;plotStyle;uiMode;isMinimal;isSimple;isPro;showLevelsEff;showCloudsEff;showBBBandsEff;showBBBreakoutsEff;showExtremeBreakoutsEff;cvdShowTableEff;showCandleColorsEff;isLinePlotEff;const color BULL_COLOR;const color BEAR_COLOR;const color BULL_BG_COLOR;const color BEAR_BG_COLOR;cvdSource;var float cumVol;cvdMA;cvdMA1;cvdMA2;cvdMA_bb;bbStdDev;bbUpperBand;bbLowerBand;bbUpperBreakout;bbLowerBreakout;cvdRange;extremeUpperLevel;extremeLowerLevel;significantUpperLevel;significantLowerLevel;extremeUpperBreakout;extremeLowerBreakout;bearColor;bullColor;hiddenLineStyle;hiddenBullColor;hiddenBearColor;plVal;phVal;plFound;phFound;plJust;phJust;prevLowPrice;prevHighPrice;var histBull;var histBear;var histHBull;var histHBear;var int prevPLBar;var float prevPLVal;var int prevPHBar;var float prevPHVal;var bool bullCondNow;var bool bearCondNow;var bool hiddenBullNow;var bool hiddenBearNow;currBar;rangeOK;priceLL;priceHL;cvdHL;cvdLL;newLine;old;newHLine;priceHH;priceLH;cvdLH;cvdHH;pUpperExtreme;pUpperSignificant;pLowerSignificant;pLowerExtreme;cvdLineColor;pCVD;pMA;cCol;p1;p2;bbUpper;bbLower;cvd5m;cvd15m;cvd1h;cvd4h;cvd1d;cvdMA5m;cvdMA15m;cvdMA1h;cvdMA4h;cvdMA1d;width_c0;width_c1;cvd_pos;var table cvd_Table;safeExtremeUpper;safeExtremeLower","BETTE-03.pine(3);BETTE-01.pine(3);BETTE-02.pine(2)","BETTE-04 V6.pine","//@version=6 | // TITLE: Better CVD Pro - Professional Order Flow Dashboard | // DESC: Master build combining Better CVD2's accurate engine with Better RSI's professional UI | indicator(""Better CVD Pro"", shorttitle=""CVD Pro"", format=format.volume, precision=2, overlay=false, max_lines_count=500, max_labels_count=500) |  | // ======== INPUTS (Better RSI Professional Style) ========== // | // --- CVD Core Settings --- | const string GRP_CVD = ""CVD Settings"" | anchorInput = input.timeframe(""D"", ""CVD Anchor Period"", group=GRP_CVD, tooltip=""Timeframe at which CVD resets. 'D' recommended for intraday."") | useCustomTimeframeInput = input.bool(false, ""Use Custom Lower Timeframe"", group=GRP_CVD, tooltip=""Override automatic lower timeframe selection."")"
"C+V+D.pine","D:\work\coding\trading\indicators\cvd\C+V+D.pine","5","indicator","cvd","","f_zscore;f_marker","lenVolMA;zscoreSens;markerOffset;lookbackScale;showBullish;showBearish;showNeutral;volHeightPct;divLookback;showVolumeDivergence;showCvdDivergence;anchorInput;cvdLookback;cvdTransparency;cvdBullColor;cvdBearColor;mean;sd;volZ;volMA;isUltraHigh;isVeryHigh;isHigh;spread;body;upperWick;lowerWick;spreadMA;spreadWide;closePos;isUp;isDown;lowVol;isSC;isSPR;isNS;isTest;isShakeout;isSpring;isAbsorption;isBC;isUT;isND;isUTAD;isSupplyIn;isEffortFall;isSquat;isEffortVsResult;bullishMap;bearishMap;neutralMap;bullColor;bearColor;neutralColor;var float lastVol;changeC;delta;isNewAnchor;var bool bullishVolDiv;var bool bearishVolDiv;var bool bullishCvdDiv;var bool bearishCvdDiv;priceMomentum;volumeMomentum;cvdMomentum;priceLow;priceHigh;priceRange;maxVol;scaledVol;volBase;openCvd;highCvd;lowCvd;closeCvd;cvdMax;cvdMin;cvdRange;scaleFactorCVD;scaledOpen;scaledHigh;scaledLow;scaledClose;cvdIsBull;cvdBodyColor;isBull;isBear;col;arrow","","","//@version=5 | // TITLE: VSA + CVD Overlay (v2.0 - Dual Divergence) | // DESC: Upgraded to include both traditional Volume divergence and high-precision CVD divergence. | indicator(""Cvd+Vol+Div (v2.0 - Dual Divergence)"", overlay=true, max_labels_count=500) |  | // === INPUTS === | lenVolMA = input.int(20, ""Volume MA Length"", minval=1, group=""VSA Settings"") | zscoreSens = input.float(1.8, ""VSA Z-score Sensitivity"", step=0.1, group=""VSA Settings"") | markerOffset = input.float(1.05, ""Marker Offset Factor"", step=0.01, group=""VSA Settings"") | lookbackScale = input.int(50, ""Lookback for Volume Scaling"", group=""VSA Settings"")"
"CVD Pro.pine","D:\work\coding\trading\indicators\cvd\CVD Pro.pine","6","indicator","cvd","alertcondition;pine-v6","f_calculateZScore;_inRange;scaleCVD","var string GRP_VSA;showMA;lengthVolumeMA;vsa_zscore_sensitivity;vsa_climax_close_threshold;var string GRP_CVD;anchorInput;useCustomTimeframeInput;lowerTimeframeInput;cvdTransparency;showCVDBorders;showCVDWicks;cvdBullColor;cvdBearColor;cvdLookback;cvdBaselineOffsetPct;var string GRP_DIV;show_divergences;pivot_lookback_left;pivot_lookback_right;range_lower;range_upper;show_regular_div;show_hidden_div;bull_div_color;bear_div_color;div_highlight_color;show_div_markers;div_marker_offset_pct;var string GRP_ABS;show_absorption;absorption_close_threshold;absorption_color;show_absorption_sell;absorption_color_sell;absorption_marker_offset_pct;mean;std_dev;float result;bars;vol_zscore;volumeMA;isUltraHigh;isVeryHigh;isHigh;string lowerTimeframe;cvd_delta_perbar;cvd_delta_since_anchor;var float anchorCvdMax;var float anchorCvdMin;var float anchorVolMax;isNewAnchor;anchorCvdRange;anchorScaleFactor;cvdZeroOffset;var bool bullCondState;var bool bearCondState;phFound;plFound;prev_low_val;prev_low_idx;prev_cvd_low_val;in_range_low;prev_high_val;prev_high_idx;prev_cvd_high_val;in_range_high;priceLL;cvdHL;bullCond;y1_cvd_scaled;y2_cvd_scaled;priceHH;cvdLH;bearCond;isDownBar;isUpBar;isHighEffort;rng;closePctFromLow;closePctFromHigh;isStrongCloseUp;buy_absorption_signal;isStrongCloseDown;sell_absorption_signal;isBuyingClimax;isSellingClimax;bool isAccumulationBar;bool isDistributionBar;bool bullDivSignal;bool bearDivSignal;vsaColor;finalVSAColor;offMult;buyY;sellY;divOffMult;bullConfluenceCond;bullDivY_conf;bullDivY_only;bearConfluenceCond;bearDivY_conf;bearDivY_only;var float prevScaledClose;var float oCVD;currCumRaw;cCVD;hCVDraw;lCVDraw;hCVD;lCVD;cvdIsBull;bT;wT;cvdBodyColor;cvdBorderColor;cvdWickColor;var cumVol;bool bullDiv_Accum;bool bullDiv_BuyAbs;bool bearDiv_Dist;bool bearDiv_SellAbs;bool bullDiv_SC;bool bearDiv_BC","KVS 30.pine(1);Vol+CVD.pine(1);VSA-02.pine(1);BETTE-03.pine(1);VSA-04.pine(1)","CVD Pro V6.pine","//@version=6 | // TITLE: CVD Pro (Final Build) | // DESC: The definitive order flow and volume analysis tool, combining VSA, CVD, and an advanced divergence engine. | indicator(""CVD Pro"", shorttitle=""CVD Pro"", format=format.volume, precision=0, overlay=false, scale=scale.left, max_lines_count=500, max_labels_count=500) |  | import TradingView/ta/8 |  | // ============================================================================================== | // INPUTS | // =============================================================================================="
"Vol+CVD.pine","D:\work\coding\trading\indicators\cvd\Vol+CVD.pine","6","indicator","cvd","pine-v6","f_calculateZScore","var string GRP_VSA;lengthVolumeMA;vsa_zscore_sensitivity;var string GRP_CVD;anchorInput;cvdLookback;cvdTransparency;cvdBullColor;cvdBearColor;var string GRP_ANALYSIS;showDivergence;divLookback;showDashboard;var table dashboard;mean;std_dev;vol_zscore;volumeMA;bool isUltraHigh;bool isVeryHigh;bool isHigh;bool isNormal;bool isLow;bool isVeryLow;cvd_delta_current_bar;cvdMax;cvdMin;cvdRange;scaleFactor;scaledOpen;scaledHigh;scaledLow;scaledClose","VSA-02.pine(1);KVS 30.pine(1);CVD Pro.pine(1);VSA-04.pine(1)","Vol+CVD V6.pine","//@version=6 | indicator(""VSA Volume + CVD (Analysis Engine)"", ""VSA+CVD v2.5"", format=format.volume, precision=0) |  | import TradingView/ta/8 |  | // ============================================================================================== | // VSA & VAD SETTINGS | // ============================================================================================== | var string GRP_VSA = ""VSA Volume Settings"" | lengthVolumeMA = input.int(20, title=""Length of Volume MA"", minval=1, group=GRP_VSA)"
"Eclaude.pine","D:\work\coding\trading\indicators\kv\Eclaude.pine","5","indicator","other","request.security","f_atr;f_kv_trigger;f_create_zone;f_draw_zone;f_update_zones;f_check_zones","grp_core;vol_multiplier;lookback;grp_kv;kv_enabled;kv_swing_len;kv_zone_height;kv_zone_extend;kv_padding;kv_min_wick_ratio;kv_min_body_atr;kv_throttle;kv_max_age;grp_mtf;kv_show_5m;kv_show_15m;grp_visual;kv_bull_color;kv_bear_color;kv_5m_opacity;kv_15m_opacity;kv_show_labels;kv_label_size;grp_sig;sig_enabled;sig_retest_only;sig_require_volume;sig_min_wick_ratio;sig_throttle;atr_val;atr;body;swing_low;break_down;lower_wick;wick_ratio;swing_high;break_up;upper_wick;zone_bottom;zone_top;var int last_bull_zone;var int last_bear_zone;zone;base_color;zone_color;border_color;left;top;right;bottom;border_width;bgcolor;label_style;label_color;label_text;x;y;text;style;color;textcolor;size;old_zone;for i;bull_trigger;bear_trigger;is_1m_chart;var int last_5m_bull;var int last_5m_bear;var int last_15m_bull;var int last_15m_bear;in_bull_zone;in_bear_zone;var int last_buy_signal;var int last_sell_signal;vol_ma;vol_spike;vol_ok;bull_reject;bear_reject;buy_setup;sell_setup;var table info_table","EZZ-08.pine(1);EZZ-07.pine(1);TEST-01.pine(1);EZZ-06.pine(1)","","//@version=5 | indicator(""Eclaude"", overlay=true, max_boxes_count=100) |  | // ====================================================================== | //                          INPUTS - ????N GI???N H??A | // ====================================================================== |  | // --- Core Settings --- | grp_core = ""Core Settings"" | vol_multiplier = input.float(2.0, ""Volume Spike Multiplier"", minval=1.0, group=grp_core)"
