"path","has_version","paren_open","paren_close","bracket_open","bracket_close","curl_open","curl_close","non_ascii_chars","issues"
"D:\Work\Coding\Trading\indicators\composite\Leviathan.pine","True","108","108","22","22","0","0","175","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\Better-01-CVD.pine","True","153","153","21","21","0","0","84","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\Better-02-CVD.pine","True","198","198","23","23","0","0","105","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\Better-03-CVD.pine","True","195","195","37","37","5","5","16","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\Better-04-CVD.pine","True","250","250","17","17","21","21","0",""
"D:\Work\Coding\Trading\indicators\cvd\C+V+D.pine","True","127","127","9","9","0","0","71","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\CVD Pro.pine","True","172","172","19","19","0","0","133","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\cvd\Vol+CVD.pine","True","34","34","2","2","0","0","66","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\hybrid\wyckoff_smc\archive\WSH_Velo_v5_2_copy.pine","True","396","489","65","67","0","0","244","paren_mismatch;bracket_mismatch;non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-01.pine","True","58","58","7","7","0","0","53","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-02.pine","True","130","130","13","13","0","0","44","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-01.pine","True","130","130","13","13","0","0","44","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-02.pine","True","358","358","13","13","0","0","461","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-03.pine","True","223","223","12","12","0","0","63","non_ascii_chars"
"D:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-04.pine","True","274","274","7","7","0","0","289","non_ascii_chars"
