"filename","path","family","syntax_errors","sr_flags","ready_for_product","priority","recommended_action","notes"
"WSH Velo.pine","indicators/wyckoff/WSH Velo.pine","other","paren-mismatch(396/489);bracket-mismatch(65/67);double-quote-odd(299)","alertcondition;request.security","no","P2","repair-or-archive","syntax:paren-mismatch(396/489)|bracket-mismatch(65/67)|double-quote-odd(299) ; sr:alertcondition|request.security"
"Wish 5.2 hybrid.pine","indicators/wyckoff/Wish 5.2 hybrid.pine","other","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VSAScalpPro20.pine","indicators/vsa/VSAScalpPro20.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"vsa-functions.pine","libraries/vsa/vsa-functions.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"VPP42.pine","indicators/vp/VPP42.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VPP41.pine","indicators/vp/VPP41.pine","VPP","suspicious-ellipsis","","yes","P2","repair-or-archive",""
"VPP4.pine","indicators/vp/VPP4.pine","VPP","suspicious-ellipsis","","yes","P2","repair-or-archive",""
"Vol+CVD.pine","indicators/cvd/Vol+CVD.pine","other","suspicious-ellipsis","pine-v6","yes","P2","repair-or-archive",""
"value-area.pine","indicators/vp/value-area.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"C+V+D.pine","indicators/composite/C+V+D.pine","other","single-quote-odd(1)","","yes","P2","repair-or-archive",""
"Claude PLS.pine","indicators/vsa/Claude PLS.pine","other","single-quote-odd(1)","","yes","P2","repair-or-archive",""
"CVD Pro.pine","indicators/cvd/CVD Pro.pine","other","single-quote-odd(1)","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
"Eclaude.pine","indicators/kv/Eclaude.pine","other","","request.security","yes","P1","sr-review-and-fix",""
"ema-trend.pine","indicators/trend/ema-trend.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"EZ3.pine","indicators/kv/EZ3.pine","other","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"EZZII.pine","indicators/kv/EZZII.pine","other","","request.security","yes","P1","sr-review-and-fix",""
"EZZY.PINE","indicators/kv/EZZY.PINE","other","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"Ideas.pine","improvements/Ideas.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"KVS 30.pine","indicators/kvs/KVS 30.pine","other","single-quote-odd(1)","","yes","P2","repair-or-archive",""
"Leviathan.pine","indicators/other/Leviathan.pine","other","","request.security","yes","P1","sr-review-and-fix",""
"PLS original.pine","indicators/other/PLS original.pine","other","single-quote-odd(1)","","yes","P2","repair-or-archive",""
"Shark.pine","indicators/other/Shark.pine","other","","alertcondition;request.security;pine-v6","no","P1","sr-review-and-fix","sr:alertcondition|request.security|pine-v6"
"SP.pine","indicators/other/SP.pine","other","single-quote-odd(1)","alertcondition;request.security","no","P2","repair-or-archive","sr:alertcondition|request.security"
"Squeeze.pine","indicators/other/Squeeze.pine","other","","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
"EZ3.pine","indicators/kv/EZ3.pine","other","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"Ideas.pine","improvements/Ideas.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"VPP4.pine","indicators/vp/VPP4.pine","VPP","suspicious-ellipsis","","yes","P2","repair-or-archive",""
"VPP41.pine","indicators/vp/VPP41.pine","VPP","suspicious-ellipsis","","yes","P2","repair-or-archive",""
"VPP42.pine","indicators/vp/VPP42.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"vsa-functions.pine","libraries/vsa/vsa-functions.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"WSH Velo.pine","indicators/wyckoff/WSH Velo.pine","other","paren-mismatch(396/489);bracket-mismatch(65/67);double-quote-odd(299)","alertcondition;request.security","no","P2","repair-or-archive","syntax:paren-mismatch(396/489)|bracket-mismatch(65/67)|double-quote-odd(299) ; sr:alertcondition|request.security"
"Better-01.pine","D:\work\coding\trading\indicators\cvd\Better-01.pine","other","","request.security;pine-v6","no","P1","sr-review-and-fix","sr:request.security|pine-v6"
"Better-02.pine","D:\work\coding\trading\indicators\cvd\Better-02.pine","other","","alertcondition;request.security;pine-v6","no","P1","sr-review-and-fix","sr:alertcondition|request.security|pine-v6"
"Better-03.pine","D:\work\coding\trading\indicators\cvd\Better-03.pine","other","single-quote-odd(47)","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
