"current_path","filename","new_path","target_abs","source_exists","target_exists","target_dir_exists","lint_issues","action_suggested"
"D:\Work\Coding\Trading\EZ3.pine","EZ3.pine","indicators/key_level/archive/EZ3.pine","d:\Work\Coding\Trading\indicators\key_level\archive\EZ3.pine","True","False","True","non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\Ideas.pine","Ideas.pine","z_archive/notes/Ideas.pine","d:\Work\Coding\Trading\z_archive\notes\Ideas.pine","True","False","True","missing_version;non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\VPP4.pine","VPP4.pine","indicators/volume_profile/VPP_v4_0.pine","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_0.pine","True","False","True","non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\VPP41.pine","VPP41.pine","indicators/volume_profile/archive/VPP_v4_1_copy.pine","d:\Work\Coding\Trading\indicators\volume_profile\archive\VPP_v4_1_copy.pine","True","False","True","non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\VPP42.pine","VPP42.pine","indicators/volume_profile/VPP_v4_2_Final.pine","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_2_Final.pine","True","False","True","non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\vsa-functions.pine","vsa-functions.pine","libraries/vsa-functions.pine","d:\Work\Coding\Trading\libraries\vsa-functions.pine","True","False","True","missing_version;non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\WSH Velo.pine","WSH Velo.pine","indicators/hybrid/wyckoff_smc/archive/WSH_Velo_v5_2_copy.pine","d:\Work\Coding\Trading\indicators\hybrid\wyckoff_smc\archive\WSH_Velo_v5_2_copy.pine","True","False","True","paren_mismatch;bracket_mismatch;non_ascii_chars","move_candidate"
"D:\Work\Coding\Trading\indicators/cvd/Better-01.pine","Better-01.pine","indicators/order_flow/archive/bette_series/Better-01.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-01.pine","False","False","True","","source_missing"
"D:\Work\Coding\Trading\indicators/cvd/Better-02.pine","Better-02.pine","indicators/order_flow/archive/bette_series/Better-02.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-02.pine","False","False","True","","source_missing"
"D:\Work\Coding\Trading\indicators/cvd/Better-03.pine","Better-03.pine","indicators/order_flow/archive/bette_series/Better-03.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-03.pine","False","False","True","","source_missing"
"D:\Work\Coding\Trading\indicators/cvd/Better-04.pine","Better-04.pine","indicators/order_flow/Better_CVD_v4.pine","d:\Work\Coding\Trading\indicators\order_flow\Better_CVD_v4.pine","False","False","True","","source_missing"
"D:\Work\Coding\Trading\indicators/cvd/C+V+D.pine","C+V+D.pine","indicators/order_flow/archive/C+V+D_legacy.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\C+V+D_legacy.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/cvd/CVD Pro.pine","CVD Pro.pine","indicators/order_flow/CVD_Pro.pine","d:\Work\Coding\Trading\indicators\order_flow\CVD_Pro.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/cvd/Vol+CVD.pine","Vol+CVD.pine","indicators/order_flow/archive/Vol+CVD_legacy.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\Vol+CVD_legacy.pine","True","False","True","","move_candidate"
"D:\Work\Coding\Trading\indicators/kv/Eclaude.pine","Eclaude.pine","indicators/key_level/KV_Zone_Advanced.pine","d:\Work\Coding\Trading\indicators\key_level\KV_Zone_Advanced.pine","True","False","True","","move_candidate"
