"current_path","filename","new_path","source_exists","target_exists","target_dir_exists","target_abs"
"current_path","filename","new_path","False","False","True","d:\Work\Coding\Trading\new_path"
"D:\Work\Coding\Trading\EZ3.pine","EZ3.pine","indicators/key_level/archive/EZ3.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\EZ3.pine"
"D:\Work\Coding\Trading\Ideas.pine","Ideas.pine","z_archive/notes/Ideas.pine","True","True","True","d:\Work\Coding\Trading\z_archive\notes\Ideas.pine"
"D:\Work\Coding\Trading\VPP4.pine","VPP4.pine","indicators/volume_profile/VPP_v4_0.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_0.pine"
"D:\Work\Coding\Trading\VPP41.pine","VPP41.pine","indicators/volume_profile/archive/VPP_v4_1_copy.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\archive\VPP_v4_1_copy.pine"
"D:\Work\Coding\Trading\VPP42.pine","VPP42.pine","indicators/volume_profile/VPP_v4_2_Final.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_2_Final.pine"
"D:\Work\Coding\Trading\vsa-functions.pine","vsa-functions.pine","libraries/vsa-functions.pine","True","True","True","d:\Work\Coding\Trading\libraries\vsa-functions.pine"
"D:\Work\Coding\Trading\WSH Velo.pine","WSH Velo.pine","indicators/hybrid/wyckoff_smc/archive/WSH_Velo_v5_2_copy.pine","True","True","True","d:\Work\Coding\Trading\indicators\hybrid\wyckoff_smc\archive\WSH_Velo_v5_2_copy.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-01.pine","Better-01.pine","indicators/order_flow/archive/bette_series/Better-01.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-01.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-02.pine","Better-02.pine","indicators/order_flow/archive/bette_series/Better-02.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-02.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-03.pine","Better-03.pine","indicators/order_flow/archive/bette_series/Better-03.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-03.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-04.pine","Better-04.pine","indicators/order_flow/Better_CVD_v4.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\Better_CVD_v4.pine"
"D:\Work\Coding\Trading\indicators/cvd/C+V+D.pine","C+V+D.pine","indicators/order_flow/archive/C+V+D_legacy.pine","True","True","True","d:\Work\Coding\Trading\indicators\order_flow\archive\C+V+D_legacy.pine"
"D:\Work\Coding\Trading\indicators/cvd/CVD Pro.pine","CVD Pro.pine","indicators/order_flow/CVD_Pro.pine","True","True","True","d:\Work\Coding\Trading\indicators\order_flow\CVD_Pro.pine"
