"filename","current_path","recommended_action","proposed_target"
"WSH Velo.pine","indicators/wyckoff/WSH Velo.pine","repair-or-archive","archive/needs-fix/WSH Velo.pine"
"Wish 5.2 hybrid.pine","indicators/wyckoff/Wish 5.2 hybrid.pine","repair-or-archive","archive/needs-fix/Wish 5.2 hybrid.pine"
"VSAScalpPro20.pine","indicators/vsa/VSAScalpPro20.pine","sr-review-and-fix","work/sr-review/VSAScalpPro20.pine"
"vsa-functions.pine","libraries/vsa/vsa-functions.pine","repair-or-archive","archive/needs-fix/vsa-functions.pine"
"VPP42.pine","indicators/vp/VPP42.pine","repair-or-archive","archive/needs-fix/VPP42.pine"
"VPP41.pine","indicators/vp/VPP41.pine","repair-or-archive","archive/needs-fix/VPP41.pine"
"VPP4.pine","indicators/vp/VPP4.pine","repair-or-archive","archive/needs-fix/VPP4.pine"
"Vol+CVD.pine","indicators/cvd/Vol+CVD.pine","repair-or-archive","archive/needs-fix/Vol+CVD.pine"
"value-area.pine","indicators/vp/value-area.pine","repair-or-archive","archive/needs-fix/value-area.pine"
"C+V+D.pine","indicators/composite/C+V+D.pine","repair-or-archive","archive/needs-fix/C+V+D.pine"
"Claude PLS.pine","indicators/vsa/Claude PLS.pine","repair-or-archive","archive/needs-fix/Claude PLS.pine"
"CVD Pro.pine","indicators/cvd/CVD Pro.pine","repair-or-archive","archive/needs-fix/CVD Pro.pine"
"Eclaude.pine","indicators/kv/Eclaude.pine","sr-review-and-fix","work/sr-review/Eclaude.pine"
"ema-trend.pine","indicators/trend/ema-trend.pine","repair-or-archive","archive/needs-fix/ema-trend.pine"
"EZ3.pine","indicators/kv/EZ3.pine","sr-review-and-fix","work/sr-review/EZ3.pine"
"EZZII.pine","indicators/kv/EZZII.pine","sr-review-and-fix","work/sr-review/EZZII.pine"
"EZZY.PINE","indicators/kv/EZZY.PINE","sr-review-and-fix","work/sr-review/EZZY.PINE"
"Ideas.pine","improvements/Ideas.pine","repair-or-archive","archive/needs-fix/Ideas.pine"
"KVS 30.pine","indicators/kvs/KVS 30.pine","repair-or-archive","archive/needs-fix/KVS 30.pine"
"Leviathan.pine","indicators/other/Leviathan.pine","sr-review-and-fix","work/sr-review/Leviathan.pine"
"PLS original.pine","indicators/other/PLS original.pine","repair-or-archive","archive/needs-fix/PLS original.pine"
"Shark.pine","indicators/other/Shark.pine","sr-review-and-fix","work/sr-review/Shark.pine"
"SP.pine","indicators/other/SP.pine","repair-or-archive","archive/needs-fix/SP.pine"
"Squeeze.pine","indicators/other/Squeeze.pine","repair-or-archive","archive/needs-fix/Squeeze.pine"
"EZ3.pine","indicators/kv/EZ3.pine","sr-review-and-fix","work/sr-review/EZ3.pine"
"Ideas.pine","improvements/Ideas.pine","repair-or-archive","archive/needs-fix/Ideas.pine"
"VPP4.pine","indicators/vp/VPP4.pine","repair-or-archive","archive/needs-fix/VPP4.pine"
"VPP41.pine","indicators/vp/VPP41.pine","repair-or-archive","archive/needs-fix/VPP41.pine"
"VPP42.pine","indicators/vp/VPP42.pine","repair-or-archive","archive/needs-fix/VPP42.pine"
"vsa-functions.pine","libraries/vsa/vsa-functions.pine","repair-or-archive","archive/needs-fix/vsa-functions.pine"
"WSH Velo.pine","indicators/wyckoff/WSH Velo.pine","repair-or-archive","archive/needs-fix/WSH Velo.pine"
"Better-01.pine","D:\work\coding\trading\indicators\cvd\Better-01.pine","sr-review-and-fix","work/sr-review/Better-01.pine"
"Better-02.pine","D:\work\coding\trading\indicators\cvd\Better-02.pine","sr-review-and-fix","work/sr-review/Better-02.pine"
"Better-03.pine","D:\work\coding\trading\indicators\cvd\Better-03.pine","repair-or-archive","archive/needs-fix/Better-03.pine"
"Better-04.pine","D:\work\coding\trading\indicators\cvd\Better-04.pine","sr-review-and-fix","work/sr-review/Better-04.pine"
"EZ-01.pine","D:\work\coding\trading\indicators\kv\EZ-01.pine","sr-review-and-fix","work/sr-review/EZ-01.pine"
indicators/cvd/Better-01-CVD.pine,Better-01-CVD.pine,cvd,Better-01,indicators/order_flow/archive/bette_series/Better-01-CVD.pine
indicators/cvd/Better-02-CVD.pine,Better-02-CVD.pine,cvd,Better-02,indicators/order_flow/archive/bette_series/Better-02-CVD.pine
indicators/cvd/Better-03-CVD.pine,Better-03-CVD.pine,cvd,Better-03,indicators/order_flow/archive/bette_series/Better-03-CVD.pine
indicators/cvd/Better-04-CVD.pine,Better-04-CVD.pine,cvd,Better-04,indicators/order_flow/Better_CVD_v4-CVD.pine
# End of file
"EZZ-05.pine","D:\work\coding\trading\indicators\kv\EZZ-05.pine","sr-review-and-fix","work/sr-review/EZZ-05.pine"
"EZZ-06.pine","D:\work\coding\trading\indicators\kv\EZZ-06.pine","sr-review-and-fix","work/sr-review/EZZ-06.pine"
"EZZ-07.pine","D:\work\coding\trading\indicators\kv\EZZ-07.pine","repair-or-archive","archive/needs-fix/EZZ-07.pine"
"EZZ-08.pine","D:\work\coding\trading\indicators\kv\EZZ-08.pine","sr-review-and-fix","work/sr-review/EZZ-08.pine"
"PI-01.pine","D:\work\coding\trading\indicators\other\PI-01.pine","sr-review-and-fix","work/sr-review/PI-01.pine"
"PI-02.pine","D:\work\coding\trading\indicators\other\PI-02.pine","repair-or-archive","archive/needs-fix/PI-02.pine"
"PI-03.pine","D:\work\coding\trading\indicators\other\PI-03.pine","keep-production","production/PI-03.pine"
"PI-04.pine","D:\work\coding\trading\indicators\other\PI-04.pine","keep-production","production/PI-04.pine"
"PI-05.pine","D:\work\coding\trading\indicators\other\PI-05.pine","keep-production","production/PI-05.pine"
"PI-06.pine","D:\work\coding\trading\indicators\other\PI-06.pine","sr-review-and-fix","work/sr-review/PI-06.pine"
"PI-07.pine","D:\work\coding\trading\indicators\other\PI-07.pine","sr-review-and-fix","work/sr-review/PI-07.pine"
"PI-08.pine","D:\work\coding\trading\indicators\other\PI-08.pine","repair-or-archive","archive/needs-fix/PI-08.pine"
"PI-09.pine","D:\work\coding\trading\indicators\other\PI-09.pine","repair-or-archive","archive/needs-fix/PI-09.pine"
"PI-10.pine","D:\work\coding\trading\indicators\other\PI-10.pine","sr-review-and-fix","work/sr-review/PI-10.pine"
"PI-11.pine","D:\work\coding\trading\indicators\other\PI-11.pine","sr-review-and-fix","work/sr-review/PI-11.pine"
"PI-12.pine","D:\work\coding\trading\indicators\other\PI-12.pine","repair-or-archive","archive/needs-fix/PI-12.pine"
"PI-13.pine","D:\work\coding\trading\indicators\other\PI-13.pine","repair-or-archive","archive/needs-fix/PI-13.pine"
"PI-14.pine","D:\work\coding\trading\indicators\other\PI-14.pine","repair-or-archive","archive/needs-fix/PI-14.pine"
"PI-15.pine","D:\work\coding\trading\indicators\other\PI-15.pine","repair-or-archive","archive/needs-fix/PI-15.pine"
"PI-16.pine","D:\work\coding\trading\indicators\other\PI-16.pine","repair-or-archive","archive/needs-fix/PI-16.pine"
"PI-17.pine","D:\work\coding\trading\indicators\other\PI-17.pine","keep-production","production/PI-17.pine"
"PI-18.pine","D:\work\coding\trading\indicators\other\PI-18.pine","sr-review-and-fix","work/sr-review/PI-18.pine"
"PICE-01.pine","D:\work\coding\trading\indicators\other\PICE-01.pine","repair-or-archive","archive/needs-fix/PICE-01.pine"
"PICE-02.pine","D:\work\coding\trading\indicators\other\PICE-02.pine","repair-or-archive","archive/needs-fix/PICE-02.pine"
"PICE-03.pine","D:\work\coding\trading\indicators\other\PICE-03.pine","repair-or-archive","archive/needs-fix/PICE-03.pine"
"PICE-04.pine","D:\work\coding\trading\indicators\other\PICE-04.pine","repair-or-archive","archive/needs-fix/PICE-04.pine"
"PILIT-01.pine","D:\work\coding\trading\indicators\other\PILIT-01.pine","repair-or-archive","archive/needs-fix/PILIT-01.pine"
"PILIT-02.pine","D:\work\coding\trading\indicators\other\PILIT-02.pine","sr-review-and-fix","work/sr-review/PILIT-02.pine"
"SCALP-01.pine","D:\work\coding\trading\indicators\other\SCALP-01.pine","sr-review-and-fix","work/sr-review/SCALP-01.pine"
"SCALP-02.pine","D:\work\coding\trading\indicators\other\SCALP-02.pine","sr-review-and-fix","work/sr-review/SCALP-02.pine"
"SMBR-01.pine","D:\work\coding\trading\indicators\other\SMBR-01.pine","sr-review-and-fix","work/sr-review/SMBR-01.pine"
"SMBR-02.pine","D:\work\coding\trading\indicators\other\SMBR-02.pine","sr-review-and-fix","work/sr-review/SMBR-02.pine"
"SMPA-01.pine","D:\work\coding\trading\indicators\other\SMPA-01.pine","sr-review-and-fix","work/sr-review/SMPA-01.pine"
"SMPA-02.pine","D:\work\coding\trading\indicators\other\SMPA-02.pine","repair-or-archive","archive/needs-fix/SMPA-02.pine"
"SMPA-04.pine","D:\work\coding\trading\indicators\other\SMPA-04.pine","repair-or-archive","archive/needs-fix/SMPA-04.pine"
"SMPA-05.pine","D:\work\coding\trading\indicators\other\SMPA-05.pine","sr-review-and-fix","work/sr-review/SMPA-05.pine"
"SMPA-06.pine","D:\work\coding\trading\indicators\other\SMPA-06.pine","repair-or-archive","archive/needs-fix/SMPA-06.pine"
"STAI-01.pine","D:\work\coding\trading\indicators\other\STAI-01.pine","repair-or-archive","archive/needs-fix/STAI-01.pine"
"STAI-02.pine","D:\work\coding\trading\indicators\other\STAI-02.pine","repair-or-archive","archive/needs-fix/STAI-02.pine"
"TEST-01.pine","D:\work\coding\trading\indicators\other\TEST-01.pine","repair-or-archive","archive/needs-fix/TEST-01.pine"
"TEST-02.pine","D:\work\coding\trading\indicators\other\TEST-02.pine","sr-review-and-fix","work/sr-review/TEST-02.pine"
"TEST-03.pine","D:\work\coding\trading\indicators\other\TEST-03.pine","sr-review-and-fix","work/sr-review/TEST-03.pine"
"TEST-04.pine","D:\work\coding\trading\indicators\other\TEST-04.pine","repair-or-archive","archive/needs-fix/TEST-04.pine"
"VP-01.pine","D:\work\coding\trading\indicators\vp\VP-01.pine","keep-production","production/VP-01.pine"
"VP-02.pine","D:\work\coding\trading\indicators\vp\VP-02.pine","keep-production","production/VP-02.pine"
"VP-03.pine","D:\work\coding\trading\indicators\vp\VP-03.pine","repair-or-archive","archive/needs-fix/VP-03.pine"
"VP-04.pine","D:\work\coding\trading\indicators\vp\VP-04.pine","sr-review-and-fix","work/sr-review/VP-04.pine"
"VPP-02.pine","D:\work\coding\trading\indicators\vp\VPP-02.pine","repair-or-archive","archive/needs-fix/VPP-02.pine"
"VPP-05.pine","D:\work\coding\trading\indicators\vp\VPP-05.pine","repair-or-archive","archive/needs-fix/VPP-05.pine"
"VPP-06.pine","D:\work\coding\trading\indicators\vp\VPP-06.pine","repair-or-archive","archive/needs-fix/VPP-06.pine"
"VPP-07.pine","D:\work\coding\trading\indicators\vp\VPP-07.pine","repair-or-archive","archive/needs-fix/VPP-07.pine"
"VPP-08.pine","D:\work\coding\trading\indicators\vp\VPP-08.pine","repair-or-archive","archive/needs-fix/VPP-08.pine"
"SMPA-03.pine","D:\work\coding\trading\indicators\vsa\SMPA-03.pine","repair-or-archive","archive/needs-fix/SMPA-03.pine"
"VSA-01.pine","D:\work\coding\trading\indicators\vsa\VSA-01.pine","repair-or-archive","archive/needs-fix/VSA-01.pine"
"VSA-02.pine","D:\work\coding\trading\indicators\vsa\VSA-02.pine","repair-or-archive","archive/needs-fix/VSA-02.pine"
"VSA-04.pine","D:\work\coding\trading\indicators\vsa\VSA-04.pine","repair-or-archive","archive/needs-fix/VSA-04.pine"
"WSH-01.pine","D:\work\coding\trading\indicators\wyckoff\WSH-01.pine","repair-or-archive","archive/needs-fix/WSH-01.pine"
"WSH-03.pine","D:\work\coding\trading\indicators\wyckoff\WSH-03.pine","sr-review-and-fix","work/sr-review/WSH-03.pine"
"WSH-04.pine","D:\work\coding\trading\indicators\wyckoff\WSH-04.pine","repair-or-archive","archive/needs-fix/WSH-04.pine"
"SMBR-03.pine","D:\work\coding\trading\strategies\SMBR-03.pine","repair-or-archive","archive/needs-fix/SMBR-03.pine"
